UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT (1) ,INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.101_N.24_101/24/09_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,6,353,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,131,PPBM,AIMAN ZAINALI,MALE,33,204,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,5,350,3,0
P.101_N.24_101/24/09_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,7,375,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,169,PPBM,AIMAN ZAINALI,MALE,33,185,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,12,372,3,0
P.101_N.24_101/24/10_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/10,SESAPAN KELUBI,PEJABAT JAWATANKUASA KEMAJUAN DAN KESELAMATAN KAMPUNG (JKKK) KAMPUNG SESAPAN KELUBI,1,274,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,203,PPBM,AIMAN ZAINALI,MALE,33,64,PSM,NIK AZIZ,MALE,25,2,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,269,5,0
P.101_N.24_101/24/10_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/10,SESAPAN KELUBI,PEJABAT JAWATANKUASA KEMAJUAN DAN KESELAMATAN KAMPUNG (JKKK) KAMPUNG SESAPAN KELUBI,2,253,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,184,PPBM,AIMAN ZAINALI,MALE,33,65,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,250,3,0
P.101_N.24_101/24/11_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/11,SESAPAN BATU,SEKOLAH RENDAH AGAMA SASAPAN BATU MINANGKABAU,1,245,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,177,PPBM,AIMAN ZAINALI,MALE,33,61,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,241,4,0
P.101_N.24_101/24/11_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/11,SESAPAN BATU,SEKOLAH RENDAH AGAMA SASAPAN BATU MINANGKABAU,2,296,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,201,PPBM,AIMAN ZAINALI,MALE,33,91,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,294,2,0
P.101_N.24_101/24/11_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/11,SESAPAN BATU,SEKOLAH RENDAH AGAMA SASAPAN BATU MINANGKABAU,3,276,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,187,PPBM,AIMAN ZAINALI,MALE,33,83,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,273,3,0
P.101_N.24_101/24/12_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/12,SUNGAI JAI,BALAI RAYA KAMPUNG SUNGAI JAI,1,246,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,180,PPBM,AIMAN ZAINALI,MALE,33,64,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,244,2,0
P.101_N.24_101/24/12_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/12,SUNGAI JAI,BALAI RAYA KAMPUNG SUNGAI JAI,2,319,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,224,PPBM,AIMAN ZAINALI,MALE,33,85,PSM,NIK AZIZ,MALE,25,2,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,313,6,0
P.101_N.24_101/24/13_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/13,BERANANG,SEKOLAH KEBANGSAAN BERANANG,1,250,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,150,PPBM,AIMAN ZAINALI,MALE,33,88,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,245,4,1
P.101_N.24_101/24/13_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/13,BERANANG,SEKOLAH KEBANGSAAN BERANANG,2,461,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,280,PPBM,AIMAN ZAINALI,MALE,33,169,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,459,2,0
P.101_N.24_101/24/14_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/14,KUALA PAJAM,SEKOLAH KEBANGSAAN KAMPUNG KUALA PAJAM,1,285,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,216,PPBM,AIMAN ZAINALI,MALE,33,65,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,282,3,0
P.101_N.24_101/24/14_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/14,KUALA PAJAM,SEKOLAH KEBANGSAAN KAMPUNG KUALA PAJAM,2,506,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,350,PPBM,AIMAN ZAINALI,MALE,33,147,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,503,3,0
P.101_N.24_101/24/15_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/15,SUNGAI KEMBUNG,SEKOLAH KEBANGSAAN RINCHING HILIR,1,281,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,201,PPBM,AIMAN ZAINALI,MALE,33,70,PSM,NIK AZIZ,MALE,25,2,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,274,7,0
P.101_N.24_101/24/15_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/15,SUNGAI KEMBUNG,SEKOLAH KEBANGSAAN RINCHING HILIR,2,289,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,188,PPBM,AIMAN ZAINALI,MALE,33,90,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,286,3,0
P.101_N.24_101/24/15_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/15,SUNGAI KEMBUNG,SEKOLAH KEBANGSAAN RINCHING HILIR,3,428,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,279,PPBM,AIMAN ZAINALI,MALE,33,134,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,423,5,0
P.101_N.24_101/24/15_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/15,SUNGAI KEMBUNG,SEKOLAH KEBANGSAAN RINCHING HILIR,4,370,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,262,PPBM,AIMAN ZAINALI,MALE,33,89,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,360,10,0
P.101_N.24_101/24/16_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/16,SESAPAN BATU REMBAU,BALAI RAYA SESAPAN BATU REMBAU,1,251,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,190,PPBM,AIMAN ZAINALI,MALE,33,59,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,251,0,0
P.101_N.24_101/24/16_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/16,SESAPAN BATU REMBAU,BALAI RAYA SESAPAN BATU REMBAU,2,343,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,252,PPBM,AIMAN ZAINALI,MALE,33,86,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,340,3,0
P.101_N.24_101/24/17_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/17,KAMPUNG BATU 26 BERANANG,BALAI RAYA TAMAN PKNS BATU 26 BERANANG,1,282,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,180,PPBM,AIMAN ZAINALI,MALE,33,91,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,278,4,0
P.101_N.24_101/24/17_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/17,KAMPUNG BATU 26 BERANANG,BALAI RAYA TAMAN PKNS BATU 26 BERANANG,2,418,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,247,PPBM,AIMAN ZAINALI,MALE,33,156,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,415,3,0
P.101_N.24_101/24/18_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/18,PENJARA KAJANG,KAFA INTEGRASI HIDAYATUL IMAN,1,203,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,132,PPBM,AIMAN ZAINALI,MALE,33,69,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,202,1,0
P.101_N.24_101/24/18_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/18,PENJARA KAJANG,KAFA INTEGRASI HIDAYATUL IMAN,2,272,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,173,PPBM,AIMAN ZAINALI,MALE,33,92,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,270,2,0
P.101_N.24_101/24/19_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/19,SEMENYIH INDAH,SEKOLAH MENENGAH KEBANGSAAN ENGKU HUSAIN,1,287,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,76,PPBM,AIMAN ZAINALI,MALE,33,187,PSM,NIK AZIZ,MALE,25,12,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,278,9,0
P.101_N.24_101/24/19_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/19,SEMENYIH INDAH,SEKOLAH MENENGAH KEBANGSAAN ENGKU HUSAIN,2,297,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,62,PPBM,AIMAN ZAINALI,MALE,33,210,PSM,NIK AZIZ,MALE,25,13,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,289,0,8
P.101_N.24_101/24/19_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/19,SEMENYIH INDAH,SEKOLAH MENENGAH KEBANGSAAN ENGKU HUSAIN,3,397,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,73,PPBM,AIMAN ZAINALI,MALE,33,293,PSM,NIK AZIZ,MALE,25,20,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,389,8,0
P.101_N.24_101/24/19_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/19,SEMENYIH INDAH,SEKOLAH MENENGAH KEBANGSAAN ENGKU HUSAIN,4,367,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,78,PPBM,AIMAN ZAINALI,MALE,33,255,PSM,NIK AZIZ,MALE,25,20,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,359,8,0
P.101_N.24_101/24/19_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/19,SEMENYIH INDAH,SEKOLAH MENENGAH KEBANGSAAN ENGKU HUSAIN,5,354,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,77,PPBM,AIMAN ZAINALI,MALE,33,241,PSM,NIK AZIZ,MALE,25,18,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,12,348,6,0
P.101_N.24_101/24/20_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,1,305,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,159,PPBM,AIMAN ZAINALI,MALE,33,142,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,304,1,0
P.101_N.24_101/24/20_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,2,309,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,173,PPBM,AIMAN ZAINALI,MALE,33,124,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,306,3,0
P.101_N.24_101/24/20_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,3,473,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,234,PPBM,AIMAN ZAINALI,MALE,33,219,PSM,NIK AZIZ,MALE,25,7,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,468,5,0
P.101_N.24_101/24/20_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,4,417,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,230,PPBM,AIMAN ZAINALI,MALE,33,171,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,415,2,0
P.101_N.24_101/24/20_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,5,327,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,164,PPBM,AIMAN ZAINALI,MALE,33,148,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,324,3,0
P.101_N.24_101/24/20_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/20,BANDAR RINCHING SEKSYEN 5 - 6,SEKOLAH MENENGAH KEBANGSAAN BANDAR RINCHING,6,373,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,218,PPBM,AIMAN ZAINALI,MALE,33,139,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,373,0,0
P.101_N.24_101/24/21_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,1,249,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,115,PPBM,AIMAN ZAINALI,MALE,33,109,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,233,16,0
P.101_N.24_101/24/21_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,2,283,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,130,PPBM,AIMAN ZAINALI,MALE,33,126,PSM,NIK AZIZ,MALE,25,17,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,275,8,0
P.101_N.24_101/24/21_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,3,415,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,220,PPBM,AIMAN ZAINALI,MALE,33,180,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,409,6,0
P.101_N.24_101/24/21_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,4,427,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,230,PPBM,AIMAN ZAINALI,MALE,33,180,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,417,10,0
P.101_N.24_101/24/21_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,5,420,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,244,PPBM,AIMAN ZAINALI,MALE,33,161,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,409,11,0
P.101_N.24_101/24/21_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,6,382,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,208,PPBM,AIMAN ZAINALI,MALE,33,160,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,5,378,4,0
P.101_N.24_101/24/21_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,7,342,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,181,PPBM,AIMAN ZAINALI,MALE,33,135,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,335,7,0
P.101_N.24_101/24/21_8,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,8,339,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,202,PPBM,AIMAN ZAINALI,MALE,33,121,PSM,NIK AZIZ,MALE,25,9,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,339,0,0
P.101_N.24_101/24/21_9,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/21,BANDAR TASIK KESUMA,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK KESUMA,9,357,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,207,PPBM,AIMAN ZAINALI,MALE,33,127,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,13,355,2,0
P.101_N.24_101/24/22_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,1,270,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,132,PPBM,AIMAN ZAINALI,MALE,33,127,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,266,4,0
P.101_N.24_101/24/22_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,2,278,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,132,PPBM,AIMAN ZAINALI,MALE,33,131,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,276,2,0
P.101_N.24_101/24/22_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,3,438,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,237,PPBM,AIMAN ZAINALI,MALE,33,187,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,434,4,0
P.101_N.24_101/24/22_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,4,434,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,227,PPBM,AIMAN ZAINALI,MALE,33,191,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,432,2,0
P.101_N.24_101/24/22_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,5,396,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,221,PPBM,AIMAN ZAINALI,MALE,33,160,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,394,2,0
P.101_N.24_101/24/22_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,6,382,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,206,PPBM,AIMAN ZAINALI,MALE,33,158,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,378,4,0
P.101_N.24_101/24/22_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,7,368,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,216,PPBM,AIMAN ZAINALI,MALE,33,121,PSM,NIK AZIZ,MALE,25,7,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,21,365,3,0
P.101_N.24_101/24/22_8,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,8,342,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,185,PPBM,AIMAN ZAINALI,MALE,33,143,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,341,1,0
P.101_N.24_101/24/22_9,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,9,342,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,180,PPBM,AIMAN ZAINALI,MALE,33,142,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,12,340,2,0
P.101_N.24_101/24/22_10,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,10,341,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,177,PPBM,AIMAN ZAINALI,MALE,33,137,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,21,341,0,0
P.101_N.24_101/24/22_11,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/22,KANTAN PERMAI,SEKOLAH KEBANGSAAN KANTAN PERMAI,11,342,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,193,PPBM,AIMAN ZAINALI,MALE,33,125,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,12,340,2,0
P.101_N.24_101/24/23_1a,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/23,BUKIT MAHKOTA,SEKOLAH KEBANGSAAN BANDAR BUKIT MAHKOTA,1,286,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,151,PPBM,AIMAN ZAINALI,MALE,33,131,PSM,NIK AZIZ,MALE,25,2,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,284,2,0
P.101_N.24_101/24/23_2a,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/23,BUKIT MAHKOTA,SEKOLAH KEBANGSAAN BANDAR BUKIT MAHKOTA,2,278,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,161,PPBM,AIMAN ZAINALI,MALE,33,105,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,5,276,2,0
P.101_N.24_101/24/23_3a,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/23,BUKIT MAHKOTA,SEKOLAH KEBANGSAAN BANDAR BUKIT MAHKOTA,3,297,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,171,PPBM,AIMAN ZAINALI,MALE,33,115,PSM,NIK AZIZ,MALE,25,1,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,296,1,0
